,EMPRESA_ID,RAZAO SOCIAL,NOME FANTASIA,ENDERECO,ENDERECO NUMERO,ENDERECO COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,TAMANHO,CAPITAL SOCIAL,FATURAMENTO,FUNCIONARIOS,DATA DE ABERTURA,TIPO DE UNIDADE,SITUACAO,ATIVIDADE PRINCIPAL,NATUREZA JURIDICA,TELEFONE 1,TELEFONE 2,TELEFONE 3,TELEFONE 4,TELEFONE 5,WEBSITE 1,WEBSITE 2,WEBSITE 3,WEBSITE 4,WEBSITE 5
0,EMPRESA_ID_1,EMPRESA 1,NOME FANTASIA 1,ENDERECO 1,NUMERO 1,COMPLEMENTO 1,BAIRRO 1,SAO PAULO,SP,CEP 1,PEQUENO,R$ 251 - R$ 500 K,60000100.0,11 - 50,02/25/2002,MATRIZ,ATIVA,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,Empresa Privada,TELEFONE 1_EMPRESA_1,TELEFONE 2_EMPRESA_1,TELEFONE 3_EMPRESA_1,,,WEBSITE 1_EMPRESA_1,WEBSITE 2_EMPRESA_1,,,
1,EMPRESA_ID_10,EMPRESA 10,NOME FANTASIA 10,ENDERECO 10,NUMERO 10,COMPLEMENTO 10,BAIRRO 10,CURITIBA,PR,CEP 10,PEQUENO,R$ 10 M - R$ 50 M,7500000100.0,201 - 500,01/01/1970,MATRIZ,ATIVA,Desenvolvimento e licenciamento de programas de computador não customizáveis,Empresa Privada,TELEFONE 1_EMPRESA_10,TELEFONE 2_EMPRESA_10,TELEFONE 3_EMPRESA_10,TELEFONE 4_EMPRESA_10,TELEFONE 5_EMPRESA_10,WEBSITE 1_EMPRESA_10,WEBSITE 2_EMPRESA_10,WEBSITE 3_EMPRESA_10,,
2,EMPRESA_ID_100,EMPRESA 100,NOME FANTASIA 100,ENDERECO 100,NUMERO 100,COMPLEMENTO 100,BAIRRO 100,SAO PAULO,SP,CEP 100,DEMAIS,R$ 0 - R$ 50 K,330000100.0,0 - 3,09/30/2004,MATRIZ,INAPTA,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",Empresa Privada,TELEFONE 1_EMPRESA_100,TELEFONE 2_EMPRESA_100,TELEFONE 3_EMPRESA_100,TELEFONE 4_EMPRESA_100,TELEFONE 5_EMPRESA_100,WEBSITE 1_EMPRESA_100,,,,
3,EMPRESA_ID_1000,EMPRESA 1000,NOME FANTASIA 1000,ENDERECO 1000,NUMERO 1000,COMPLEMENTO 1000,BAIRRO 1000,BARUERI,SP,CEP 1000,GRANDE,R$ 251 - R$ 500 K,6500000100.0,201 - 500,03/29/2007,MATRIZ,ATIVA,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet",Empresa Privada,TELEFONE 1_EMPRESA_1000,TELEFONE 2_EMPRESA_1000,,,,,,,,
4,EMPRESA_ID_1001,EMPRESA 1001,NOME FANTASIA 1001,ENDERECO 1001,NUMERO 1001,COMPLEMENTO 1001,BAIRRO 1001,SAO PAULO,SP,CEP 1001,PEQUENO,"R$ 2,5 M - R$ 10 M",60000100.0,11 - 50,05/30/2007,MATRIZ,ATIVA,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,Empresa Privada,TELEFONE 1_EMPRESA_1001,TELEFONE 2_EMPRESA_1001,TELEFONE 3_EMPRESA_1001,TELEFONE 4_EMPRESA_1001,TELEFONE 5_EMPRESA_1001,WEBSITE 1_EMPRESA_1001,WEBSITE 2_EMPRESA_1001,,,
5,EMPRESA_ID_1002,EMPRESA 1002,NOME FANTASIA 1002,ENDERECO 1002,NUMERO 1002,COMPLEMENTO 1002,BAIRRO 1002,SAO PAULO,SP,CEP 1002,MICRO,"R$ 501 - R$ 2,5 M",34000000100.0,null,03/22/1995,MATRIZ,ATIVA,Serviços de arquitetura,Empresa Privada,TELEFONE 1_EMPRESA_1002,TELEFONE 2_EMPRESA_1002,TELEFONE 3_EMPRESA_1002,TELEFONE 4_EMPRESA_1002,TELEFONE 5_EMPRESA_1002,WEBSITE 1_EMPRESA_1002,,,,
6,EMPRESA_ID_1003,EMPRESA 1003,NOME FANTASIA 1003,ENDERECO 1003,NUMERO 1003,COMPLEMENTO 1003,BAIRRO 1003,SAO PAULO,SP,CEP 1003,PEQUENO,"R$ 2,5 M - R$ 10 M",6500000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Serviços advocatícios,Empresa Privada,TELEFONE 1_EMPRESA_1003,TELEFONE 2_EMPRESA_1003,TELEFONE 3_EMPRESA_1003,,,WEBSITE 1_EMPRESA_1003,,,,
7,EMPRESA_ID_1004,EMPRESA 1004,NOME FANTASIA 1004,ENDERECO 1004,NUMERO 1004,COMPLEMENTO 1004,BAIRRO 1004,SAO PAULO,SP,CEP 1004,MICRO,R$ 51K - R$ 250 K,1700000100.0,51 - 200,01/01/1970,MATRIZ,ATIVA,Fornecimento e gestão de recursos humanos para terceiros,Empresa Privada,TELEFONE 1_EMPRESA_1004,TELEFONE 2_EMPRESA_1004,TELEFONE 3_EMPRESA_1004,,,WEBSITE 1_EMPRESA_1004,,,,
8,EMPRESA_ID_1005,EMPRESA 1005,NOME FANTASIA 1005,ENDERECO 1005,NUMERO 1005,COMPLEMENTO 1005,BAIRRO 1005,ITUPEVA,SP,CEP 1005,MEDIO,"R$ 501 - R$ 2,5 M",90000100.0,11 - 50,03/24/1994,MATRIZ,ATIVA,Fabricação de produtos de panificação industrial,Empresa Privada,TELEFONE 1_EMPRESA_1005,TELEFONE 2_EMPRESA_1005,,,,WEBSITE 1_EMPRESA_1005,WEBSITE 2_EMPRESA_1005,WEBSITE 3_EMPRESA_1005,WEBSITE 4_EMPRESA_1005,WEBSITE 5_EMPRESA_1005
9,EMPRESA_ID_1006,EMPRESA 1006,NOME FANTASIA 1006,ENDERECO 1006,NUMERO 1006,COMPLEMENTO 1006,BAIRRO 1006,SAO PAULO,SP,CEP 1006,PEQUENO,R$ 251 - R$ 500 K,400000100.0,51 - 200,09/22/1994,MATRIZ,ATIVA,Agências de publicidade,Empresa Privada,TELEFONE 1_EMPRESA_1006,TELEFONE 2_EMPRESA_1006,TELEFONE 3_EMPRESA_1006,TELEFONE 4_EMPRESA_1006,TELEFONE 5_EMPRESA_1006,WEBSITE 1_EMPRESA_1006,WEBSITE 2_EMPRESA_1006,WEBSITE 3_EMPRESA_1006,,
